"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 29 07:10:52 GMT 2024","Sat Jun 29 07:11:30 GMT 2024","37597","kong e2e test","","","","","create 2 gateway services",""
"passed","Sat Jun 29 07:11:11 GMT 2024","Sat Jun 29 07:11:30 GMT 2024","18646","kong e2e test","","","","","create a route associated with gateway service",""
