"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 22:43:29 GMT 2024","Fri Jun 28 22:44:06 GMT 2024","37102","kong e2e test","","","","","create 2 gateway services",""
"passed","Fri Jun 28 22:43:48 GMT 2024","Fri Jun 28 22:44:06 GMT 2024","18696","kong e2e test","","","","","create a route associated with gateway service",""
